Date,Open,High,Low,Close,Adj Close,Volume
2010-11-30,91.20999908447266,93.02999877929688,91.0,91.12000274658203,77.64244842529297,4810800
2010-12-01,93.23999786376953,95.0,93.0999984741211,93.98999786376953,80.08793640136719,3220300
2010-12-02,94.3499984741211,96.2300033569336,94.0999984741211,95.20999908447266,81.12751007080078,2399300
2010-12-03,94.51000213623047,95.4800033569336,94.36000061035156,95.0,80.94853210449219,1833900
2010-12-06,94.52999877929688,94.66999816894531,93.04000091552734,93.29000091552734,79.49146270751953,2323700
2010-12-07,94.18000030517578,94.5999984741211,92.63999938964844,92.66000366210938,78.95467376708984,3025500
2010-12-08,92.43000030517578,93.27999877929688,92.0999984741211,92.80999755859375,79.08244323730469,1401700
2010-12-09,93.66999816894531,94.27999877929688,93.30000305175781,94.08999633789062,80.17312622070312,2650400
2010-12-10,94.0999984741211,94.0999984741211,92.62999725341797,93.9800033569336,80.07938385009766,1752800
2010-12-13,94.9000015258789,95.19000244140625,94.26000213623047,94.30999755859375,80.36060333251953,2186900
2010-12-14,94.41999816894531,94.7699966430664,92.93000030517578,93.33000183105469,79.52556610107422,2353800
2010-12-15,93.33000183105469,93.5,92.38999938964844,92.38999938964844,78.72457122802734,2193200
2010-12-16,91.86000061035156,94.79000091552734,91.27999877929688,94.22000122070312,80.28390502929688,6865000
2010-12-17,94.2300033569336,94.30999755859375,92.23999786376953,93.06999969482422,79.30399322509766,2990100
2010-12-20,93.80999755859375,93.88999938964844,92.80999755859375,93.55999755859375,79.72152709960938,1604500
2010-12-21,93.80000305175781,94.48999786376953,93.47000122070312,93.69000244140625,79.83229064941406,1547300
2010-12-22,93.83000183105469,93.9000015258789,92.81999969482422,93.37000274658203,79.55961608886719,1246700
2010-12-23,93.02999877929688,93.5199966430664,92.56999969482422,93.01000213623047,79.25289154052734,880200
2010-12-27,92.48999786376953,93.19999694824219,92.48999786376953,93.02999877929688,79.26992797851562,678100
2010-12-28,93.23999786376953,93.36000061035156,92.58999633789062,93.0199966430664,79.26139068603516,839400
2010-12-29,93.06999969482422,93.25,92.63999938964844,92.80000305175781,79.07395935058594,790100
2010-12-30,92.81999969482422,93.23999786376953,92.69999694824219,92.95999908447266,79.21026611328125,764900
2010-12-31,92.52999877929688,93.41000366210938,92.41000366210938,93.01000213623047,79.25289154052734,1015100
2011-01-03,93.54000091552734,94.29000091552734,93.12000274658203,93.19000244140625,79.40625,2037700
2011-01-04,93.37999725341797,93.87000274658203,92.05999755859375,93.12000274658203,79.34658813476562,2412600
2011-01-05,92.5199966430664,94.2699966430664,92.37000274658203,93.87000274658203,79.98568725585938,2351100
2011-01-06,93.69999694824219,93.93000030517578,92.91000366210938,93.0999984741211,79.32953643798828,1890000
2011-01-07,93.0,94.31999969482422,91.80000305175781,93.1500015258789,79.37215423583984,5209400
2011-01-10,93.01000213623047,94.9800033569336,92.25,94.05999755859375,80.1475830078125,2959000
